OverallQual,TotalBsmtSF,GarageArea,GrLivArea
5,810,280,1456
6,1489,462,1489
7,1726,786,1726
7,1362,484,2082
7,1309,484,1339
8,1284,1069,2450
7,879,660,1863
5,768,396,768
1,0,0,334
6,1136,384,1136
6,1237,405,1337
5,912,288,912
5,864,264,1812
5,720,240,2192
5,658,0,1184
7,925,308,1889
5,1063,624,1327
6,1422,576,1422
5,1632,576,1632
7,1630,451,1630
3,1013,0,1526
4,0,420,1040
6,806,216,1647
4,1122,576,1981
6,1416,418,1644
8,1482,868,2574
6,764,520,1824
6,1248,520,1350
6,958,440,958
6,833,370,1848
4,1281,490,1620
6,1158,400,1167
6,735,220,1487
5,892,288,892
5,788,240,804
5,1140,0,1140
6,780,483,1796
6,848,551,2030
10,1017,812,2007
5,691,216,691
8,768,676,1590
6,994,325,1855
7,994,442,1804
7,884,543,1768
10,1930,807,3627
6,1298,403,1298
7,1501,484,1801
5,630,0,630
6,1103,440,1103
4,859,384,1178
4,1196,440,1196
7,1372,529,1372
6,1099,296,1431
7,1422,626,1422
6,1580,501,1953
4,1121,440,1121
8,1143,852,2473
5,1057,576,1057
5,1097,602,1110
8,1152,671,2270
9,2002,746,2018
6,672,440,1386
8,1082,1043,1953
8,1337,462,1337
8,969,648,2285
8,1705,826,1718
5,1024,484,1086
7,1373,660,1555
7,1902,567,1902
7,1216,693,2514
5,1086,528,1224
6,1054,460,1054
8,1225,676,2612
5,876,288,902
7,845,484,2353
6,689,299,1392
5,1109,576,1155
5,1208,240,1904
6,862,208,1158
6,611,502,1362
7,975,429,2291
4,649,250,1317
8,1734,928,1734
6,1194,312,1194
5,876,720,1416
5,1383,354,1383
5,1001,871,2002
8,1496,474,1496
5,984,660,1604
5,680,504,764
6,741,476,1732
7,1494,840,1494
6,960,180,986
7,1145,397,1145
6,742,0,1484
6,819,525,1344
5,650,686,1539
9,1122,656,2504
4,600,528,747
7,1108,583,2097
10,3138,884,4676
6,698,624,1176
4,720,0,720
8,1580,830,1580
4,1440,0,1440
6,738,540,1476
7,1500,570,1500
5,884,216,1348
5,864,884,1200
6,1394,514,1394
6,800,484,1632
5,912,336,912
6,1370,864,2624
5,1140,349,1696
5,440,440,1230
8,853,440,2727
6,728,429,1456
4,864,660,864
6,970,380,1709
8,810,528,1665
7,1347,656,2646
7,798,595,1640
3,978,420,1699
4,1364,529,1663
5,1728,504,1728
6,1055,462,1845
6,822,440,1851
8,1489,776,1489
6,864,300,864
5,1256,276,1256
5,816,816,816
7,864,492,1820
7,1104,833,2127
5,1065,461,1065
6,1200,312,1200
7,1187,632,1208
8,1094,642,2482
7,1720,527,1720
5,672,0,840
6,1278,496,1294
5,1090,450,1090
8,1141,420,2263
5,969,440,969
3,894,1248,894
5,1008,360,1028
6,979,492,1958
8,1795,895,1795
9,1930,606,1940
5,1176,439,1178
6,672,400,1482
7,1417,554,1428
5,864,338,864
5,616,200,1111
6,680,420,1470
6,1116,440,1116
6,864,288,864
5,1297,498,1297
5,1113,264,1113
7,1490,577,1501
7,756,614,1547
7,991,678,1947
8,1709,908,1717
6,1010,440,1052
7,1117,455,2013
7,1266,388,1266
9,1992,716,2868
7,952,554,2256
7,1414,494,1414
6,928,471,1721
6,713,434,1552
4,698,528,1128
6,1096,358,1118
6,1728,574,1728
8,1629,711,2448
5,1437,452,1473
7,1156,400,1717
7,856,400,1166
8,1370,484,1370
6,1680,480,1724
7,970,380,1709
6,483,264,987
7,793,216,1802
6,952,360,2345
6,1059,264,1068
6,1604,533,1617
6,1244,336,1244
4,700,252,1180
7,600,480,1223
6,1686,612,1686
8,1638,800,1646
5,864,264,1144
7,939,639,1797
4,0,462,1224
7,992,839,1865
5,1056,308,1056
9,1926,820,3140
6,506,492,1212
8,1686,636,1694
6,802,413,1511
5,1057,246,1057
4,777,560,2290
7,1204,786,2183
7,1673,594,3222
7,880,512,1716
6,1372,457,1342
7,1346,437,1504
8,1053,648,1992
7,600,462,1252
5,999,264,999
4,622,528,1363
6,1127,490,1165
9,1626,702,1668
8,1158,853,2376
5,540,352,1440
6,794,388,1470
7,1541,532,1541
4,1440,0,1440
7,868,438,1146
8,1494,481,1494
9,1462,738,2224
5,731,186,1343
8,1028,683,2452
6,816,540,1977
7,1064,504,1767
8,1324,550,1324
6,912,330,1458
6,1314,440,1314
6,1575,529,1575
9,1620,912,1620
4,1104,304,1788
6,814,240,913
6,1542,500,2073
8,776,492,1441
7,815,225,1690
5,1188,576,1437
7,1568,508,2156
5,864,0,864
5,536,336,1112
7,700,746,2243
4,686,210,1328
4,656,216,968
6,698,384,1396
9,1856,834,1856
8,1582,789,2161
6,1602,529,1602
5,630,280,1302
6,783,393,1509
5,912,352,912
6,1004,420,1664
6,1181,576,1694
4,747,220,747
4,0,420,1040
7,831,493,1660
5,1026,308,1691
5,864,720,864
6,744,264,752
7,963,564,1792
7,764,474,1626
8,1476,472,1484
7,1470,870,3493
9,1652,840,1652
5,1276,350,1276
6,856,271,1668
4,720,0,1192
5,840,504,884
7,1157,454,2062
5,0,392,827
7,728,532,2019
5,264,336,1304
6,684,216,1368
3,840,379,1605
10,2006,900,2020
7,625,528,1250
8,1624,757,1624
4,845,360,845
5,1389,418,1389
5,968,480,968
4,546,286,1092
6,848,420,848
5,1269,308,1269
5,1092,288,1092
7,795,539,2263
4,952,283,952
4,736,0,1452
5,1039,504,1039
6,1204,412,1204
6,1029,672,1117
7,2158,701,2196
5,985,328,985
8,3206,880,1629
7,861,216,1477
5,980,484,980
7,1095,590,2295
6,602,180,1502
6,697,432,2201
8,1034,836,2078
2,264,0,800
8,1573,840,1578
8,1932,774,1932
5,1075,404,1507
5,882,280,900
10,1700,786,1718
5,636,240,1750
7,1379,834,2398
8,774,680,1968
7,1536,532,1536
3,864,200,864
8,3200,546,3228
7,1434,670,2149
7,1240,864,2640
7,1304,530,1682
8,1030,878,2098
5,864,360,864
5,784,530,1968
6,1040,480,1097
6,684,528,1196
5,1052,451,1920
5,1728,576,1728
8,1128,577,2031
6,1196,297,1196
5,720,360,803
5,780,462,1620
8,2077,1134,2097
9,1869,617,1869
7,930,431,1886
2,480,308,480
4,0,516,1296
4,816,288,816
7,1271,478,1601
6,936,451,1792
8,1338,796,2520
5,1144,796,1144
5,612,621,2601
6,972,312,1577
5,970,624,970
7,2136,513,2036
6,1026,440,1026
5,698,0,698
7,1533,576,1533
5,720,660,1382
7,1391,530,1391
5,1078,240,1078
8,1267,471,1296
6,1442,301,1442
5,940,0,1964
7,1502,644,1502
6,1392,458,1392
4,1768,0,1768
5,1624,390,1582
6,958,301,958
5,894,600,894
6,1224,402,1224
10,1682,846,2332
8,1256,430,1269
8,1732,712,1776
6,728,390,1456
6,655,539,1194
5,1008,240,1008
7,1373,430,1555
5,747,180,1784
7,637,280,1108
5,384,400,1394
7,980,496,1714
5,0,294,882
3,728,0,1306
6,626,288,1217
5,990,299,990
8,1117,691,2452
6,848,420,848
6,672,300,1369
6,1218,676,1218
6,588,672,2555
8,1247,550,1247
6,1330,619,2872
8,1600,482,1652
6,1844,546,1844
7,1113,689,1971
6,982,463,1800
7,1050,574,1949
4,630,0,630
7,1494,530,1494
3,600,0,968
7,1274,508,1274
6,1156,364,1520
6,660,528,1285
7,783,393,1509
7,793,550,1935
6,816,0,816
7,1176,555,1200
4,941,548,1470
6,1080,528,1656
5,768,240,792
8,1694,818,1694
8,1800,765,1800
5,662,560,2337
6,1040,315,1846
6,940,576,1026
5,876,408,904
5,1126,484,1126
8,1136,872,2468
6,938,540,988
5,1052,288,1052
6,572,0,1096
6,1141,484,1141
6,732,484,1790
8,1004,660,1852
6,520,0,754
5,624,513,1344
7,1947,576,2207
6,907,360,2358
8,1142,831,2715
7,1364,484,1364
7,1237,402,1253
6,1328,528,1328
5,978,286,1422
7,768,486,1986
6,952,192,952
8,1660,500,1660
9,2216,1166,2234
6,768,160,790
7,1340,396,1340
6,1610,480,1610
5,1361,600,2620
7,1248,438,1248
6,912,288,912
6,943,472,1638
4,1249,1356,1622
6,1028,180,2320
5,1144,456,1144
5,793,281,1520
6,1516,472,1516
7,1498,675,1498
6,804,560,1961
7,728,440,1456
7,1032,349,2403
9,1896,708,1944
7,1368,474,1368
7,873,588,1790
9,1452,858,2713
5,720,312,1271
7,1845,604,1872
7,1190,577,2090
6,794,546,1796
7,1302,436,1302
8,2524,542,2524
4,840,338,1374
7,764,474,1626
5,735,240,1034
8,1518,588,1518
7,1040,240,1818
7,1649,598,1661
6,854,432,1991
7,650,324,1482
8,1742,564,1742
5,686,280,1250
6,816,528,1176
8,908,506,1915
6,940,240,1595
6,992,377,1661
8,832,552,1935
8,1777,534,1795
7,847,434,1928
5,1051,336,1159
6,855,440,1456
7,798,431,1954
8,1868,880,2028
8,1565,665,2898
7,814,663,1674
5,974,0,974
8,1065,586,1989
7,1080,678,2097
7,1424,500,1442
5,1120,720,1130
7,1026,240,1820
6,689,583,2119
8,1234,666,2576
5,780,0,1020
4,1095,779,1774
1,683,0,904
7,673,490,1382
10,1107,840,3608
6,1008,205,2210
6,806,373,1572
7,1643,739,1824
5,1056,304,1056
5,784,392,1221
6,1362,504,1362
6,848,420,848
7,1454,527,1434
7,1208,628,1208
5,796,566,1466
8,1986,691,1987
7,1311,983,2418
7,1314,626,1314
7,970,380,1709
6,672,0,1218
6,1440,0,3395
5,1200,0,1200
5,912,297,912
10,2444,832,4316
7,856,548,1710
8,1181,656,2374
7,704,234,1564
5,1466,528,1466
6,1383,292,1383
5,0,410,1535
5,990,576,990
7,918,240,1646
6,1020,440,1928
7,539,550,1725
8,1683,541,2872
6,952,576,2112
4,672,240,1324
7,600,480,1200
5,672,468,1344
7,840,500,1668
3,0,400,1040
5,900,576,900
5,1559,812,1559
4,864,248,948
6,923,264,923
7,1552,782,1552
7,756,642,1717
5,1461,440,1721
6,483,264,987
6,1200,521,1200
5,768,281,1716
5,894,336,894
5,0,336,1771
7,1053,528,1173
5,1063,576,1287
4,1051,459,1382
7,1203,721,2520
6,1215,297,1215
8,1165,844,2526
7,600,480,1200
5,1728,560,1728
7,576,480,1710
8,1396,870,2392
7,996,457,1744
7,813,562,1665
7,1264,792,2696
4,864,528,864
4,672,234,672
5,1164,564,1320
6,1078,440,958
7,1710,550,1710
5,1219,502,1265
8,1273,400,1456
5,927,576,1539
7,1907,766,1959
5,1008,0,1522
5,0,0,1124
7,1107,484,2090
5,1214,461,1214
5,1763,454,1779
8,1616,808,1629
8,1554,627,1554
7,964,642,2236
4,796,0,796
6,840,308,1680
6,848,420,848
5,1142,528,1142
6,1602,564,1252
9,1684,564,1684
8,2000,888,2000
7,1616,834,1616
8,1299,531,1872
5,1042,225,1576
7,807,575,1982
5,876,276,988
8,1844,620,1844
6,1258,528,1258
8,1260,500,1288
8,1626,866,1634
6,855,440,1322
8,707,403,1414
7,1504,478,1504
7,1670,690,1670
7,1192,518,2167
6,1069,440,1069
6,547,525,1072
5,1572,995,1572
5,1088,456,1869
4,882,0,882
9,1922,676,1922
5,780,352,780
5,533,300,1601
7,1530,430,1530
5,833,0,833
3,649,308,1183
5,1040,260,1040
8,1466,1052,2828
6,1032,288,1252
5,1246,305,1246
6,884,180,904
5,686,416,1652
5,832,288,1268
6,896,342,1913
7,1358,484,1358
6,1657,484,1657
6,816,275,838
7,992,390,2060
7,764,474,1626
6,663,299,1352
5,768,240,1376
6,715,240,1660
6,616,432,1412
6,756,216,1469
7,384,400,1430
6,1094,495,1094
8,1814,758,1826
5,672,576,924
8,1488,528,1502
6,616,603,1688
6,1262,572,1262
9,1905,788,1905
7,1153,541,2031
6,1064,478,1350
7,941,613,1829
5,828,300,965
4,672,280,924
8,1055,905,2263
6,1127,540,2108
7,1242,528,1242
4,884,240,1573
7,884,434,2035
6,1232,516,1232
7,803,483,1964
4,576,0,1140
5,894,450,894
6,1054,619,2654
5,768,396,768
4,0,0,912
5,1040,504,2080
5,1040,576,1040
6,1149,216,1616
4,641,273,1047
5,1134,484,1803
6,832,528,832
5,894,384,894
5,596,189,1192
9,1833,772,1850
5,864,288,899
5,864,264,892
6,1214,506,2291
5,849,360,2138
6,926,470,1604
7,868,422,2021
5,938,308,938
7,912,216,1426
5,928,400,1920
5,1098,260,1098
3,270,0,729
6,1252,528,1252
5,1584,792,1584
9,1498,592,1506
9,1698,506,1709
5,1092,299,1092
9,1746,758,1746
7,1304,667,2287
5,768,200,789
5,1041,270,1041
8,967,431,1908
6,1010,390,2267
5,715,180,875
5,1216,364,1526
6,1567,714,1567
9,1734,1020,2822
7,689,360,1378
4,715,368,1738
6,1151,521,2060
5,936,286,1128
7,840,440,1720
5,1050,338,1050
6,1114,576,1114
5,1008,750,1053
8,1593,682,1593
5,1214,318,1214
5,816,264,816
5,0,400,1535
8,1360,795,3112
8,1079,685,1919
5,1097,672,1097
6,983,423,1750
6,483,288,987
6,981,576,981
5,1398,447,1700
5,816,308,816
7,944,622,1840
6,942,576,2521
5,1002,902,1002
4,721,294,841
6,936,564,996
8,1713,856,1713
6,1392,576,1412
6,912,923,1236
4,1064,648,1040
8,1595,608,1616
6,1184,601,1414
7,975,576,1950
5,1086,490,1086
5,1324,528,1576
5,768,624,768
6,1161,676,1381
8,1284,647,2169
3,0,287,720
6,1510,520,2792
4,936,576,936
4,1138,588,1181
7,1689,954,1689
4,948,280,948
6,756,440,1512
5,894,450,894
7,900,644,1852
4,0,290,845
3,544,0,774
8,2033,666,3238
7,1232,632,1232
7,1164,528,1164
5,912,160,1248
5,747,572,1687
6,860,440,1960
4,546,286,1092
4,894,400,894
7,1453,558,1479
5,1060,270,1060
7,1436,484,1436
5,540,504,1044
7,880,320,1768
6,816,432,816
7,384,400,1430
5,1617,303,1867
7,1356,648,1500
4,1100,312,1100
5,816,264,816
5,1350,308,1328
10,1722,842,2296
5,864,572,864
7,1257,453,1266
4,858,0,858
6,832,506,1710
4,732,264,1123
6,953,460,1647
5,864,288,874
8,1753,522,1788
6,1477,416,1839
5,780,484,1868
5,1626,588,1712
6,561,462,1229
8,1566,890,1600
6,916,460,1600
5,896,240,1344
5,1126,540,1126
5,876,264,923
5,616,205,616
5,1800,0,1800
6,1505,505,1505
5,1430,621,1647
4,1132,451,1132
6,928,470,1764
4,0,240,1529
6,804,336,2447
7,1346,457,1504
3,1162,220,1163
6,756,440,1525
5,935,288,935
6,813,270,813
5,896,230,2008
7,1475,514,2329
5,910,282,1558
7,832,528,1664
7,2110,522,2110
6,824,684,1786
5,757,336,1475
5,811,256,1387
7,976,380,1708
6,912,440,1734
5,954,520,2414
7,915,493,1908
5,931,506,1283
7,1212,573,1212
7,952,672,1548
5,980,384,980
6,1073,470,1811
4,1056,384,1056
8,1234,484,1234
5,630,440,1302
6,319,0,1406
5,858,576,858
9,1175,736,2324
5,105,414,910
6,780,442,1611
6,684,400,1560
5,0,630,2020
8,1338,582,1338
5,1188,312,1188
7,1459,527,1459
7,1306,533,2260
7,1413,605,1430
5,996,0,996
6,1092,504,1092
7,625,625,1250
7,864,572,1728
5,924,280,924
6,1199,530,1199
5,948,300,948
5,925,429,925
5,458,366,835
8,1580,610,2466
7,924,487,2157
5,1040,572,1060
10,2633,804,2633
5,993,280,1048
6,953,460,1664
6,784,360,784
6,1196,473,1279
4,1134,284,1229
5,1268,244,1268
7,1428,480,1428
6,1041,352,1125
5,1008,275,1008
8,1622,860,1630
6,864,673,1728
5,952,322,1211
5,1040,286,1040
8,1686,511,1707
7,935,462,1632
5,1392,528,1392
5,608,270,1319
6,742,390,1484
5,971,300,971
6,1029,539,1062
6,945,0,980
7,1405,478,1405
6,959,472,1671
5,1056,495,1074
5,0,672,2320
6,918,264,918
5,1437,528,1437
6,1069,440,1069
6,727,441,1556
7,817,510,1894
8,1935,895,1973
7,710,564,2978
6,848,420,848
7,384,400,1474
5,1056,260,1056
5,864,484,902
6,1032,564,1032
5,961,338,1077
5,1235,480,1235
7,910,719,1442
6,483,264,987
6,975,504,1004
5,1006,0,1006
5,780,0,1716
7,860,565,1720
4,960,308,960
7,1604,660,1604
8,2217,621,2217
6,1844,540,1844
6,799,380,1571
7,1468,577,1479
5,1499,529,1786
6,1240,338,1632
8,866,578,1768
5,1096,299,1096
7,791,542,2093
6,660,453,1348
7,728,410,1456
5,1484,319,1600
6,1682,544,1700
6,808,389,1593
5,1008,288,1363
6,855,440,1441
8,1710,866,1710
7,948,463,2110
6,725,475,1479
7,723,367,767
7,654,426,1496
8,1520,648,1567
5,980,308,1148
8,1085,753,1970
8,1453,750,2810
8,1470,696,2630
5,1105,480,2274
6,1261,433,1261
5,1486,480,1486
5,773,240,773
6,1319,462,1537
7,866,546,1779
4,950,0,1225
6,848,420,848
6,780,198,1376
6,729,440,1471
4,440,0,869
6,729,440,1458
5,864,440,894
7,832,427,1718
5,1390,611,1701
4,864,576,864
6,528,512,1855
6,1606,616,1651
6,612,528,1224
5,928,288,928
4,0,0,1092
7,728,546,1641
6,708,776,1416
8,1058,736,1904
5,936,308,936
6,716,452,1556
4,864,400,864
7,1654,900,1654
5,816,576,1416
8,1252,856,2365
4,1067,436,1067
6,0,539,1902
7,1374,420,1557
7,1195,486,1839
