OverallQual,TotalBsmtSF,GarageArea,GrLivArea,YearBuilt
7,1560,573,1560,2003
5,728,312,1644,1942
4,630,286,630,1970
6,1143,504,1113,1976
7,1063,947,2172,2006
4,560,384,1346,1910
8,1184,550,2610,2007
7,1026,936,1958,2005
8,1468,898,1468,2008
5,0,539,1734,1977
5,768,240,1200,1946
7,1092,438,1550,2006
4,795,440,2230,1912
6,1064,240,1639,1936
5,864,624,864,1958
7,1208,440,1621,1984
6,483,264,987,1972
7,1210,628,2519,1989
5,765,440,1365,1970
8,1128,779,2290,2002
9,1249,840,2596,2006
4,907,352,907,1957
6,855,440,1456,1976
5,1106,540,1190,1962
4,858,684,858,1971
7,2223,516,2223,1973
4,1005,672,1005,1955
7,712,409,1895,1994
5,1040,384,1040,1965
5,1268,461,1264,1960
7,874,578,1761,2007
6,1012,888,1034,1976
7,1385,439,1363,1954
6,1436,480,1689,1956
8,2109,839,2113,1995
7,1573,544,1573,2002
9,2330,820,2364,2009
7,1057,645,2034,1997
6,1291,431,1291,1996
5,858,0,858,1958
6,560,280,1258,1939
2,290,246,438,1920
6,672,440,1400,1978
5,920,240,954,1938
6,1127,645,1445,1964
6,547,525,1072,2005
5,0,0,1664,1965
6,844,441,2134,1916
8,965,380,3194,1934
6,912,0,1824,1971
6,872,422,1756,1996
5,912,576,912,1965
6,1461,600,1509,1988
6,976,216,1608,1925
6,1316,397,1316,2005
5,768,450,1015,1925
5,756,240,1134,1940
8,1623,865,1636,2006
7,660,400,1320,2003
5,1013,538,2126,1967
5,1120,525,1128,1963
5,992,756,1306,1957
4,546,0,1344,1970
7,718,704,2554,1890
5,845,576,893,1949
6,894,668,1933,2007
6,672,264,1218,1973
7,808,534,1969,1977
8,1220,556,2090,1995
5,1484,487,1484,1971
5,1656,506,1656,1973
6,818,210,1224,1926
6,992,390,2054,2000
7,832,576,854,1929
4,546,286,1092,1973
5,1268,252,1268,1977
7,799,550,1661,1996
8,1657,502,1668,2003
6,1478,508,1493,1997
6,932,306,932,1950
7,1277,526,1277,1970
7,1530,630,1530,2004
5,1024,484,1344,1958
5,840,528,860,1982
7,1314,626,1314,2007
7,1391,868,1962,2006
7,788,388,1490,2004
6,848,420,848,2004
5,672,240,672,1940
7,1152,252,2340,1941
5,660,180,1656,1916
7,725,484,1479,1972
7,1226,740,1226,2009
6,832,444,2087,1966
6,1158,576,1158,2004
5,1154,480,1154,1966
7,880,527,1724,1998
6,773,431,1658,1995
4,0,520,1126,1949
5,816,300,1393,1955
8,728,1014,3447,1935
6,483,264,987,1973
5,644,0,1355,1940
7,585,505,2069,1960
7,744,440,1501,1999
8,1976,908,1976,2006
8,1563,758,1563,2007
7,572,288,1111,1926
7,776,270,1502,1931
3,0,452,1733,1955
9,1848,706,2728,2005
5,630,264,1302,1972
7,1332,586,1524,1979
4,0,680,1588,1959
5,1125,430,1125,2006
7,600,480,1200,2005
6,798,520,1640,2004
7,1223,525,2127,1994
6,972,240,972,1948
8,1128,466,2020,1995
5,1144,596,1144,1956
5,1062,288,1352,1958
5,926,484,1316,1929
8,1086,592,1924,1998
5,1164,240,1164,1950
5,952,840,952,1951
8,684,0,2358,1872
6,880,540,1680,1988
6,482,672,1912,1905
6,1004,480,1004,1970
4,747,305,1230,1946
5,915,495,1167,1920
5,1145,440,1301,1924
7,1453,445,1453,1986
8,1581,670,1601,2001
8,1588,825,1588,2006
6,588,264,1095,1958
5,1050,368,1050,1961
4,960,432,960,1965
5,810,280,1456,1948
6,1489,462,1489,1968
7,1726,786,1726,2007
7,1362,484,2082,2003
7,1309,484,1339,1990
8,1284,1069,2450,1998
7,879,660,1863,2006
5,768,396,768,1972
1,0,0,334,1946
6,1136,384,1136,1965
6,1237,405,1337,1998
5,912,288,912,1964
5,864,264,1812,1962
5,720,240,2192,1939
5,658,0,1184,1910
7,925,308,1889,1910
5,1063,624,1327,1959
6,1422,576,1422,1981
5,1632,576,1632,1967
7,1630,451,1630,2000
3,1013,0,1526,1915
4,0,420,1040,1949
6,806,216,1647,1915
4,1122,576,1981,1928
6,1416,418,1644,1953
8,1482,868,2574,2007
6,764,520,1824,1919
6,1248,520,1350,1964
6,958,440,958,1976
6,833,370,1848,1923
4,1281,490,1620,1976
6,1158,400,1167,1992
6,735,220,1487,1945
5,892,288,892,1967
5,788,240,804,1940
5,1140,0,1140,2006
6,780,483,1796,1963
6,848,551,2030,1976
10,1017,812,2007,2008
5,691,216,691,1920
8,768,676,1590,2008
6,994,325,1855,1954
7,994,442,1804,1999
7,884,543,1768,2003
10,1930,807,3627,1995
6,1298,403,1298,1985
7,1501,484,1801,1959
5,630,0,630,1970
6,1103,440,1103,1925
4,859,384,1178,1900
4,1196,440,1196,1916
7,1372,529,1372,2007
6,1099,296,1431,1962
7,1422,626,1422,2004
6,1580,501,1953,1992
4,1121,440,1121,2003
8,1143,852,2473,2004
5,1057,576,1057,1962
5,1097,602,1110,1978
8,1152,671,2270,1999
9,2002,746,2018,2008
6,672,440,1386,1978
8,1082,1043,1953,2005
8,1337,462,1337,1993
8,969,648,2285,2000
8,1705,826,1718,2007
5,1024,484,1086,1966
7,1373,660,1555,2007
7,1902,567,1902,1959
7,1216,693,2514,1990
5,1086,528,1224,1979
6,1054,460,1054,1969
8,1225,676,2612,1998
5,876,288,902,1967
7,845,484,2353,1980
6,689,299,1392,1977
5,1109,576,1155,1961
5,1208,240,1904,1950
6,862,208,1158,1929
6,611,502,1362,1920
7,975,429,2291,1999
4,649,250,1317,1920
8,1734,928,1734,2007
6,1194,312,1194,1959
5,876,720,1416,1915
5,1383,354,1383,1954
5,1001,871,2002,1949
8,1496,474,1496,2007
5,984,660,1604,1941
5,680,504,764,1925
6,741,476,1732,1985
7,1494,840,1494,2006
6,960,180,986,1926
7,1145,397,1145,2005
6,742,0,1484,1914
6,819,525,1344,1958
5,650,686,1539,1904
9,1122,656,2504,2005
4,600,528,747,1926
7,1108,583,2097,1998
10,3138,884,4676,2007
6,698,624,1176,1937
4,720,0,720,1920
8,1580,830,1580,2007
4,1440,0,1440,1977
6,738,540,1476,2005
7,1500,570,1500,2004
5,884,216,1348,1925
5,864,884,1200,1965
6,1394,514,1394,1963
6,800,484,1632,1966
5,912,336,912,1967
6,1370,864,2624,1918
5,1140,349,1696,1962
5,440,440,1230,1910
8,853,440,2727,1932
6,728,429,1456,2006
4,864,660,864,1970
6,970,380,1709,2004
8,810,528,1665,2001
7,1347,656,2646,1993
7,798,595,1640,2003
3,978,420,1699,1900
4,1364,529,1663,1954
5,1728,504,1728,1963
6,1055,462,1845,1992
6,822,440,1851,1964
8,1489,776,1489,2006
6,864,300,864,1959
5,1256,276,1256,1965
5,816,816,816,1982
7,864,492,1820,1965
7,1104,833,2127,1991
5,1065,461,1065,1960
6,1200,312,1200,1923
7,1187,632,1208,2006
8,1094,642,2482,2005
7,1720,527,1720,1996
5,672,0,840,1930
6,1278,496,1294,1991
5,1090,450,1090,2005
8,1141,420,2263,1998
5,969,440,969,1975
3,894,1248,894,1935
5,1008,360,1028,1927
6,979,492,1958,1946
8,1795,895,1795,2006
9,1930,606,1940,2009
5,1176,439,1178,1973
6,672,400,1482,1925
7,1417,554,1428,2008
5,864,338,864,1972
5,616,200,1111,1941
6,680,420,1470,1993
6,1116,440,1116,1962
6,864,288,864,1959
5,1297,498,1297,1954
5,1113,264,1113,1950
7,1490,577,1501,1999
7,756,614,1547,2009
7,991,678,1947,2004
8,1709,908,1717,2006
6,1010,440,1052,1971
7,1117,455,2013,1996
7,1266,388,1266,2007
9,1992,716,2868,2005
7,952,554,2256,2000
7,1414,494,1414,2004
6,928,471,1721,1994
6,713,434,1552,1975
4,698,528,1128,1920
6,1096,358,1118,1977
6,1728,574,1728,1976
8,1629,711,2448,1994
5,1437,452,1473,1968
7,1156,400,1717,1990
7,856,400,1166,2005
8,1370,484,1370,2006
6,1680,480,1724,1967
7,970,380,1709,2004
6,483,264,987,1971
7,793,216,1802,1920
6,952,360,2345,1932
6,1059,264,1068,1963
6,1604,533,1617,1993
6,1244,336,1244,1957
4,700,252,1180,1922
7,600,480,1223,2005
6,1686,612,1686,1980
8,1638,800,1646,2007
5,864,264,1144,1961
7,939,639,1797,2006
4,0,462,1224,1962
7,992,839,1865,2000
5,1056,308,1056,1958
9,1926,820,3140,2008
6,506,492,1212,1977
8,1686,636,1694,2004
6,802,413,1511,1997
5,1057,246,1057,1953
4,777,560,2290,1885
7,1204,786,2183,1988
7,1673,594,3222,1990
7,880,512,1716,1996
6,1372,457,1342,1967
7,1346,437,1504,2005
8,1053,648,1992,2003
7,600,462,1252,1999
5,999,264,999,1962
4,622,528,1363,1910
6,1127,490,1165,1966
9,1626,702,1668,2002
8,1158,853,2376,2005
5,540,352,1440,1900
6,794,388,1470,1997
7,1541,532,1541,2005
4,1440,0,1440,1955
7,868,438,1146,2003
8,1494,481,1494,1995
9,1462,738,2224,2004
5,731,186,1343,1921
8,1028,683,2452,1998
6,816,540,1977,1964
7,1064,504,1767,1987
8,1324,550,1324,2006
6,912,330,1458,1948
6,1314,440,1314,2006
6,1575,529,1575,1992
9,1620,912,1620,2007
4,1104,304,1788,1957
6,814,240,913,1966
6,1542,500,2073,1978
8,776,492,1441,1999
7,815,225,1690,1916
5,1188,576,1437,1956
7,1568,508,2156,1968
5,864,0,864,1925
5,536,336,1112,1976
7,700,746,2243,1990
4,686,210,1328,1925
4,656,216,968,1927
6,698,384,1396,1915
9,1856,834,1856,2010
8,1582,789,2161,2007
6,1602,529,1602,1977
5,630,280,1302,1971
6,783,393,1509,2002
5,912,352,912,1962
6,1004,420,1664,1947
6,1181,576,1694,1925
4,747,220,747,1945
4,0,420,1040,1950
7,831,493,1660,2002
5,1026,308,1691,1924
5,864,720,864,1950
6,744,264,752,1984
7,963,564,1792,2001
7,764,474,1626,2003
8,1476,472,1484,2006
7,1470,870,3493,1880
9,1652,840,1652,2006
5,1276,350,1276,1958
6,856,271,1668,1950
4,720,0,1192,1949
5,840,504,884,1983
7,1157,454,2062,1988
5,0,392,827,1955
7,728,532,2019,1910
5,264,336,1304,1976
6,684,216,1368,1910
3,840,379,1605,1915
10,2006,900,2020,2009
7,625,528,1250,2006
8,1624,757,1624,1994
4,845,360,845,1982
5,1389,418,1389,1974
5,968,480,968,1923
4,546,286,1092,1970
6,848,420,848,2003
5,1269,308,1269,1960
5,1092,288,1092,1962
7,795,539,2263,1977
4,952,283,952,1956
4,736,0,1452,1920
5,1039,504,1039,1965
6,1204,412,1204,1998
6,1029,672,1117,1976
7,2158,701,2196,1990
5,985,328,985,1977
8,3206,880,1629,2003
7,861,216,1477,1928
5,980,484,980,1977
7,1095,590,2295,1992
6,602,180,1502,1923
6,697,432,2201,1966
8,1034,836,2078,2007
2,264,0,800,1936
8,1573,840,1578,2008
8,1932,774,1932,2008
5,1075,404,1507,1960
5,882,280,900,1967
10,1700,786,1718,2006
5,636,240,1750,1880
7,1379,834,2398,1996
8,774,680,1968,2009
7,1536,532,1536,2002
3,864,200,864,1914
8,3200,546,3228,1992
7,1434,670,2149,2003
7,1240,864,2640,1880
7,1304,530,1682,1970
8,1030,878,2098,2005
5,864,360,864,1965
5,784,530,1968,1969
6,1040,480,1097,1984
6,684,528,1196,1920
5,1052,451,1920,1958
5,1728,576,1728,1965
8,1128,577,2031,2002
6,1196,297,1196,1956
5,720,360,803,1941
5,780,462,1620,1969
8,2077,1134,2097,2005
9,1869,617,1869,2007
7,930,431,1886,1998
2,480,308,480,1949
4,0,516,1296,1967
4,816,288,816,1938
7,1271,478,1601,1978
6,936,451,1792,2000
8,1338,796,2520,1993
5,1144,796,1144,1959
5,612,621,2601,1921
6,972,312,1577,1939
5,970,624,970,1963
7,2136,513,2036,1965
6,1026,440,1026,1969
5,698,0,698,1947
7,1533,576,1533,1975
5,720,660,1382,1941
7,1391,530,1391,2004
5,1078,240,1078,1950
8,1267,471,1296,2001
6,1442,301,1442,1958
5,940,0,1964,1911
7,1502,644,1502,2009
6,1392,458,1392,1957
4,1768,0,1768,1968
5,1624,390,1582,1964
6,958,301,958,1960
5,894,600,894,1972
6,1224,402,1224,1999
10,1682,846,2332,2007
8,1256,430,1269,2004
8,1732,712,1776,2006
6,728,390,1456,2005
6,655,539,1194,1959
5,1008,240,1008,1953
7,1373,430,1555,2005
5,747,180,1784,1914
7,637,280,1108,1930
5,384,400,1394,2006
7,980,496,1714,1988
5,0,294,882,1959
3,728,0,1306,1940
6,626,288,1217,1980
5,990,299,990,1994
8,1117,691,2452,2004
6,848,420,848,2003
6,672,300,1369,1925
6,1218,676,1218,2009
6,588,672,2555,1922
8,1247,550,1247,2005
6,1330,619,2872,1977
8,1600,482,1652,2008
6,1844,546,1844,1977
7,1113,689,1971,2005
6,982,463,1800,2000
7,1050,574,1949,1993
4,630,0,630,1972
7,1494,530,1494,2002
3,600,0,968,1910
7,1274,508,1274,2005
6,1156,364,1520,1955
6,660,528,1285,1977
7,783,393,1509,2003
7,793,550,1935,1976
6,816,0,816,1990
7,1176,555,1200,2003
4,941,548,1470,1954
6,1080,528,1656,1960
5,768,240,792,1924
8,1694,818,1694,2007
8,1800,765,1800,2002
5,662,560,2337,1900
6,1040,315,1846,1949
6,940,576,1026,1978
5,876,408,904,1966
5,1126,484,1126,1977
8,1136,872,2468,2004
6,938,540,988,1969
5,1052,288,1052,1968
6,572,0,1096,1924
6,1141,484,1141,2005
6,732,484,1790,1972
8,1004,660,1852,1999
6,520,0,754,1935
5,624,513,1344,1916
7,1947,576,2207,1970
6,907,360,2358,1908
8,1142,831,2715,1976
7,1364,484,1364,2005
7,1237,402,1253,1995
6,1328,528,1328,1963
5,978,286,1422,1960
7,768,486,1986,1965
6,952,192,952,1916
8,1660,500,1660,2006
9,2216,1166,2234,2008
6,768,160,790,1930
7,1340,396,1340,2007
6,1610,480,1610,1977
5,1361,600,2620,1977
7,1248,438,1248,2005
6,912,288,912,1961
6,943,472,1638,1998
4,1249,1356,1622,1961
6,1028,180,2320,1945
5,1144,456,1144,1961
5,793,281,1520,1932
6,1516,472,1516,1964
7,1498,675,1498,2006
6,804,560,1961,2001
7,728,440,1456,2006
7,1032,349,2403,1940
9,1896,708,1944,2003
7,1368,474,1368,2005
7,873,588,1790,1999
9,1452,858,2713,2008
5,720,312,1271,1948
7,1845,604,1872,1988
7,1190,577,2090,1984
6,794,546,1796,1998
7,1302,436,1302,2007
8,2524,542,2524,1981
4,840,338,1374,1920
7,764,474,1626,2003
5,735,240,1034,1940
8,1518,588,1518,2003
7,1040,240,1818,1931
7,1649,598,1661,1998
6,854,432,1991,1932
7,650,324,1482,1920
8,1742,564,1742,1985
5,686,280,1250,1918
6,816,528,1176,1934
8,908,506,1915,1992
6,940,240,1595,1940
6,992,377,1661,1955
8,832,552,1935,2009
8,1777,534,1795,2002
7,847,434,1928,2003
5,1051,336,1159,1968
6,855,440,1456,1978
7,798,431,1954,1939
8,1868,880,2028,2005
8,1565,665,2898,1976
7,814,663,1674,2000
5,974,0,974,1991
8,1065,586,1989,2002
7,1080,678,2097,1993
7,1424,500,1442,1990
5,1120,720,1130,1920
7,1026,240,1820,1925
6,689,583,2119,1972
8,1234,666,2576,2006
5,780,0,1020,1875
4,1095,779,1774,1900
1,683,0,904,1922
7,673,490,1382,2000
10,1107,840,3608,1892
6,1008,205,2210,1880
6,806,373,1572,1995
7,1643,739,1824,1971
5,1056,304,1056,1968
5,784,392,1221,1924
6,1362,504,1362,1961
6,848,420,848,2004
7,1454,527,1434,2001
7,1208,628,1208,2007
5,796,566,1466,1936
8,1986,691,1987,1994
7,1311,983,2418,1993
7,1314,626,1314,2007
7,970,380,1709,2004
6,672,0,1218,1971
6,1440,0,3395,1914
5,1200,0,1200,1987
5,912,297,912,1958
10,2444,832,4316,1994
7,856,548,1710,2003
8,1181,656,2374,2003
7,704,234,1564,1941
5,1466,528,1466,1959
6,1383,292,1383,1960
5,0,410,1535,1979
5,990,576,990,1995
7,918,240,1646,1941
6,1020,440,1928,1910
7,539,550,1725,1979
8,1683,541,2872,1992
6,952,576,2112,1969
4,672,240,1324,1936
7,600,480,1200,2005
5,672,468,1344,1920
7,840,500,1668,2003
3,0,400,1040,1950
5,900,576,900,1951
5,1559,812,1559,1948
4,864,248,948,1954
6,923,264,923,1980
7,1552,782,1552,2005
7,756,642,1717,1915
5,1461,440,1721,1968
6,483,264,987,1973
6,1200,521,1200,1995
5,768,281,1716,1949
5,894,336,894,1965
5,0,336,1771,1960
7,1053,528,1173,1974
5,1063,576,1287,1959
4,1051,459,1382,1963
7,1203,721,2520,1995
6,1215,297,1215,1958
8,1165,844,2526,1994
7,600,480,1200,2004
5,1728,560,1728,1976
7,576,480,1710,1921
8,1396,870,2392,1997
7,996,457,1744,1993
7,813,562,1665,2007
7,1264,792,2696,2007
4,864,528,864,1971
4,672,234,672,1941
5,1164,564,1320,1966
6,1078,440,958,1976
7,1710,550,1710,2004
5,1219,502,1265,1965
8,1273,400,1456,2003
5,927,576,1539,1936
7,1907,766,1959,1988
5,1008,0,1522,1926
5,0,0,1124,1954
7,1107,484,2090,1973
5,1214,461,1214,1965
5,1763,454,1779,1955
8,1616,808,1629,2002
8,1554,627,1554,2006
7,964,642,2236,1997
4,796,0,796,1922
6,840,308,1680,1915
6,848,420,848,2003
5,1142,528,1142,1976
6,1602,564,1252,1960
9,1684,564,1684,2005
8,2000,888,2000,2004
7,1616,834,1616,2005
8,1299,531,1872,2001
5,1042,225,1576,1928
7,807,575,1982,1989
5,876,276,988,1950
8,1844,620,1844,2005
6,1258,528,1258,1971
8,1260,500,1288,1996
8,1626,866,1634,2006
6,855,440,1322,1974
8,707,403,1414,2004
7,1504,478,1504,1996
7,1670,690,1670,2006
7,1192,518,2167,1974
6,1069,440,1069,1977
6,547,525,1072,2005
5,1572,995,1572,1963
5,1088,456,1869,1890
4,882,0,882,1956
9,1922,676,1922,2005
5,780,352,780,1972
5,533,300,1601,1958
7,1530,430,1530,2005
5,833,0,833,1985
3,649,308,1183,1948
5,1040,260,1040,1962
8,1466,1052,2828,2006
6,1032,288,1252,1950
5,1246,305,1246,1959
6,884,180,904,1926
5,686,416,1652,1915
5,832,288,1268,1949
6,896,342,1913,1928
7,1358,484,1358,2009
6,1657,484,1657,1970
6,816,275,838,1918
7,992,390,2060,1999
7,764,474,1626,2003
6,663,299,1352,1969
5,768,240,1376,1941
6,715,240,1660,1934
6,616,432,1412,2006
6,756,216,1469,1906
7,384,400,1430,2000
6,1094,495,1094,1953
8,1814,758,1826,2005
5,672,576,924,1949
8,1488,528,1502,1985
6,616,603,1688,1997
6,1262,572,1262,2006
9,1905,788,1905,2006
7,1153,541,2031,1998
6,1064,478,1350,1974
7,941,613,1829,2003
5,828,300,965,1965
4,672,280,924,1941
8,1055,905,2263,2001
6,1127,540,2108,1935
7,1242,528,1242,1973
4,884,240,1573,1935
7,884,434,2035,2001
6,1232,516,1232,1984
7,803,483,1964,1976
4,576,0,1140,1910
5,894,450,894,1967
6,1054,619,2654,1968
5,768,396,768,1972
4,0,0,912,1947
5,1040,504,2080,1969
5,1040,576,1040,1996
6,1149,216,1616,1926
4,641,273,1047,1885
5,1134,484,1803,1957
6,832,528,832,1954
5,894,384,894,1966
5,596,189,1192,1920
9,1833,772,1850,2004
5,864,288,899,1967
5,864,264,892,1966
6,1214,506,2291,1910
5,849,360,2138,1898
6,926,470,1604,1997
7,868,422,2021,2006
5,938,308,938,1975
7,912,216,1426,1918
5,928,400,1920,1948
5,1098,260,1098,1955
3,270,0,729,1935
6,1252,528,1252,1959
5,1584,792,1584,1967
9,1498,592,1506,2008
9,1698,506,1709,1999
5,1092,299,1092,1957
9,1746,758,1746,2006
7,1304,667,2287,1953
5,768,200,789,1926
5,1041,270,1041,1959
8,967,431,1908,2002
6,1010,390,2267,2002
5,715,180,875,1931
5,1216,364,1526,1957
6,1567,714,1567,1977
9,1734,1020,2822,2008
7,689,360,1378,1928
4,715,368,1738,1920
6,1151,521,2060,1988
5,936,286,1128,1954
7,840,440,1720,2004
5,1050,338,1050,1956
6,1114,576,1114,2003
5,1008,750,1053,1958
8,1593,682,1593,2001
5,1214,318,1214,1967
5,816,264,816,1982
5,0,400,1535,1979
8,1360,795,3112,1918
8,1079,685,1919,2006
5,1097,672,1097,1994
6,983,423,1750,1940
6,483,288,987,1972
6,981,576,981,1971
5,1398,447,1700,1959
5,816,308,816,1957
7,944,622,1840,2001
6,942,576,2521,1973
5,1002,902,1002,1970
4,721,294,841,1950
6,936,564,996,1992
8,1713,856,1713,2004
6,1392,576,1412,1988
6,912,923,1236,1957
4,1064,648,1040,1963
8,1595,608,1616,1995
6,1184,601,1414,1958
7,975,576,1950,1997
5,1086,490,1086,1954
5,1324,528,1576,1923
5,768,624,768,1970
6,1161,676,1381,1972
8,1284,647,2169,2002
3,0,287,720,1949
6,1510,520,2792,1920
4,936,576,936,1953
4,1138,588,1181,1972
7,1689,954,1689,2007
4,948,280,948,1954
6,756,440,1512,2000
5,894,450,894,1968
7,900,644,1852,2009
4,0,290,845,1957
3,544,0,774,1931
8,2033,666,3238,1995
7,1232,632,1232,2007
7,1164,528,1164,1969
5,912,160,1248,1930
5,747,572,1687,1948
6,860,440,1960,2002
4,546,286,1092,1970
4,894,400,894,1954
7,1453,558,1479,2003
5,1060,270,1060,1968
7,1436,484,1436,2004
5,540,504,1044,1952
7,880,320,1768,1914
6,816,432,816,1930
7,384,400,1430,2000
5,1617,303,1867,1955
7,1356,648,1500,2006
4,1100,312,1100,1960
5,816,264,816,1982
5,1350,308,1328,1959
10,1722,842,2296,2008
5,864,572,864,1955
7,1257,453,1266,2005
4,858,0,858,1971
6,832,506,1710,1993
4,732,264,1123,1939
6,953,460,1647,1999
5,864,288,874,1968
8,1753,522,1788,2001
6,1477,416,1839,1957
5,780,484,1868,1976
5,1626,588,1712,1959
6,561,462,1229,1980
8,1566,890,1600,2007
6,916,460,1600,1997
5,896,240,1344,1936
5,1126,540,1126,1977
5,876,264,923,1984
5,616,205,616,1921
5,1800,0,1800,1961
6,1505,505,1505,1953
5,1430,621,1647,1977
4,1132,451,1132,2005
6,928,470,1764,1997
4,0,240,1529,1945
6,804,336,2447,1919
7,1346,457,1504,2005
3,1162,220,1163,1955
6,756,440,1525,2000
5,935,288,935,1965
6,813,270,813,1930
5,896,230,2008,1948
7,1475,514,2329,1990
5,910,282,1558,1950
7,832,528,1664,1976
7,2110,522,2110,1968
6,824,684,1786,1997
5,757,336,1475,1977
5,811,256,1387,1954
7,976,380,1708,2004
6,912,440,1734,1962
5,954,520,2414,1900
7,915,493,1908,1994
5,931,506,1283,1962
7,1212,573,1212,2001
7,952,672,1548,1925
5,980,384,980,1967
6,1073,470,1811,1956
4,1056,384,1056,1966
8,1234,484,1234,2007
5,630,440,1302,1970
6,319,0,1406,1920
5,858,576,858,1982
9,1175,736,2324,2005
5,105,414,910,1953
6,780,442,1611,1964
6,684,400,1560,2005
5,0,630,2020,1977
8,1338,582,1338,2001
5,1188,312,1188,1962
7,1459,527,1459,2002
7,1306,533,2260,1996
7,1413,605,1430,2001
5,996,0,996,1940
6,1092,504,1092,1964
7,625,625,1250,2006
7,864,572,1728,2004
5,924,280,924,1975
6,1199,530,1199,1993
5,948,300,948,1968
5,925,429,925,1965
5,458,366,835,1920
8,1580,610,2466,2004
7,924,487,2157,1966
5,1040,572,1060,1976
10,2633,804,2633,2001
5,993,280,1048,1922
6,953,460,1664,2000
6,784,360,784,1928
6,1196,473,1279,1977
4,1134,284,1229,1956
5,1268,244,1268,1954
7,1428,480,1428,2007
6,1041,352,1125,1976
5,1008,275,1008,1954
8,1622,860,1630,2008
6,864,673,1728,2003
5,952,322,1211,1968
5,1040,286,1040,1959
8,1686,511,1707,1981
7,935,462,1632,1998
5,1392,528,1392,1957
5,608,270,1319,1953
6,742,390,1484,2005
5,971,300,971,1969
6,1029,539,1062,1976
6,945,0,980,1975
7,1405,478,1405,2003
6,959,472,1671,2000
5,1056,495,1074,1975
5,0,672,2320,1948
6,918,264,918,1979
5,1437,528,1437,1976
6,1069,440,1069,1977
6,727,441,1556,1968
7,817,510,1894,2002
8,1935,895,1973,2006
7,710,564,2978,1967
6,848,420,848,2004
7,384,400,1474,1995
5,1056,260,1056,1954
5,864,484,902,1983
6,1032,564,1032,1978
5,961,338,1077,1920
5,1235,480,1235,1961
7,910,719,1442,1990
6,483,264,987,1971
6,975,504,1004,1977
5,1006,0,1006,1959
5,780,0,1716,1912
7,860,565,1720,2004
4,960,308,960,1920
7,1604,660,1604,2006
8,2217,621,2217,1970
6,1844,540,1844,1969
6,799,380,1571,1993
7,1468,577,1479,1999
5,1499,529,1786,1965
6,1240,338,1632,1958
8,866,578,1768,2007
5,1096,299,1096,1969
7,791,542,2093,1986
6,660,453,1348,1966
7,728,410,1456,2005
5,1484,319,1600,1957
6,1682,544,1700,2003
6,808,389,1593,1992
5,1008,288,1363,1951
6,855,440,1441,1978
8,1710,866,1710,2007
7,948,463,2110,1994
6,725,475,1479,1976
